x_m,y_m,s_m
7.49498,8.19033,13.47824
7.50151,8.17088,13.49824
7.50816,8.15143,13.51824
7.51542,8.13027,13.53823
7.52431,8.10646,13.55822
7.53310,8.08511,13.57822
7.54108,8.06582,13.59822
7.54927,8.04655,13.61822
7.55797,8.02618,13.63821
7.56826,8.00356,13.65820
7.57831,7.98313,13.67820
7.58794,7.96364,13.69820
7.59800,7.94421,13.71820
7.60802,7.92496,13.73820
7.61934,7.90415,13.75819
7.63034,7.88499,13.77819
7.64183,7.86507,13.79818
7.65406,7.84534,13.81818
7.66521,7.82751,13.83818
7.67698,7.80905,13.85818
7.68853,7.79143,13.87817
7.70200,7.77099,13.89817
7.71659,7.75094,13.91817
7.72902,7.73407,13.93817
7.74188,7.71688,13.95816
7.75452,7.70032,13.97816
7.76823,7.68239,13.99816
7.78255,7.66470,14.01816
7.79607,7.64810,14.03815
7.81074,7.63059,14.05815
7.82493,7.61428,14.07815
7.83905,7.59806,14.09814
7.85350,7.58200,14.11814
7.86749,7.56652,14.13814
7.88219,7.55051,14.15814
7.89656,7.53521,14.17813
7.91152,7.51932,14.19813
7.92689,7.50361,14.21813
7.94123,7.48902,14.23813
7.95583,7.47429,14.25812
7.97027,7.45984,14.27812
7.98473,7.44538,14.29812
7.99930,7.43096,14.31812
8.01370,7.41673,14.33812
8.02830,7.40236,14.35811
8.04280,7.38818,14.37811
8.05661,7.37468,14.39811
8.07028,7.36111,14.41811
8.08412,7.34735,14.43810
8.09753,7.33388,14.45810
8.11115,7.32002,14.47810
8.12421,7.30675,14.49810
8.13698,7.29335,14.51810
8.14991,7.27974,14.53809
8.16174,7.26697,14.55809
8.17409,7.25317,14.57809
8.18500,7.24105,14.59808
8.19514,7.22866,14.61808
8.20633,7.21497,14.63808
8.21572,7.20293,14.65807
8.22589,7.18896,14.67807
8.23478,7.17691,14.69807
8.24261,7.16464,14.71806
8.25167,7.15052,14.73806
8.25852,7.13902,14.75804
8.26616,7.12472,14.77804
8.27240,7.11341,14.79804
8.27720,7.10207,14.81803
8.28356,7.08732,14.83803
8.28793,7.07604,14.85801
8.29268,7.06131,14.87800
8.29655,7.05003,14.89800
